inst;dist_min;dist_max;dist_std;dist_mean;dist_median;tempoCpu_min;tempoCpu_max;tempoCpu_std;tempoCpu_mean;tempoCpu_median;numRotasEv_min;numRotasEv_max;numRotasEv_std;numRotasEv_mean;numRotasEv_median
C101_C5x;385.491;385.491;0.0;385.491;385.491;0.079;0.087;0.003;0.084;0.085;5;5;0.0;5.0;5.0
C103_C5x;341.334;341.334;0.0;341.334;341.334;0.076;0.085;0.003;0.081;0.082;2;4;0.943;3.0;3.0
C206_C5x;417.307;417.307;0.0;417.307;417.307;0.087;0.092;0.001;0.091;0.091;1;3;0.632;1.2;1.0
C208_C5x;381.913;381.913;0.0;381.913;381.913;0.114;0.13;0.004;0.123;0.124;1;1;0.0;1.0;1.0
R104_C5x;317.021;317.021;0.0;317.021;317.021;0.123;0.137;0.004;0.134;0.136;4;4;0.0;4.0;4.0
R105_C5x;453.739;453.739;0.0;453.739;453.739;0.18;0.187;0.002;0.184;0.184;7;12;1.713;8.4;8.0
R202_C5x;347.817;348.451;0.2;347.88;347.817;0.088;0.102;0.004;0.097;0.098;2;2;0.0;2.0;2.0
R203_C5x;371.306;371.306;0.0;371.306;371.306;0.09;0.093;0.001;0.092;0.092;1;1;0.0;1.0;1.0
RC105_C5x;432.635;432.635;0.0;432.635;432.635;0.11;0.118;0.003;0.115;0.116;32;32;0.0;32.0;32.0
RC108_C5x;460.892;524.268;19.114;502.171;499.119;0.092;0.108;0.006;0.1;0.104;2;5;1.265;2.6;2.0
RC204_C5x;334.9;334.9;0.0;334.9;334.9;0.067;0.072;0.001;0.07;0.071;1;3;0.675;1.3;1.0
RC208_C5x;327.295;327.295;0.0;327.295;327.295;0.127;0.133;0.002;0.13;0.13;51;65;4.677;58.9;59.0
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0
C101_C10x;539.726;539.726;0.0;539.726;539.726;0.492;0.678;0.055;0.581;0.57;757;938;56.861;841.7;849.0
C104_C10x;484.319;484.319;0.0;484.319;484.319;0.452;0.578;0.043;0.512;0.502;817;1697;328.295;1063.6;953.5
C202_C10x;425.532;434.264;4.509;430.771;434.264;0.383;0.42;0.012;0.399;0.397;658;906;84.288;750.9;736.5
C205_C10x;416.106;416.106;0.0;416.106;416.106;0.443;0.585;0.048;0.491;0.473;749;809;25.479;776.6;771.5
R102_C10x;505.498;505.498;0.0;505.498;505.498;0.406;0.543;0.035;0.455;0.448;134;188;17.41;161.3;156.5
R103_C10x;436.075;436.075;0.0;436.075;436.075;0.415;0.437;0.007;0.425;0.422;433;521;27.472;487.6;488.5
R201_C10x;460.712;466.029;1.681;465.497;466.029;0.553;0.651;0.033;0.604;0.614;1395;1795;125.82;1592.6;1584.0
R203_C10x;436.752;448.231;3.386;446.295;447.105;0.683;0.929;0.087;0.758;0.711;11;29;6.064;15.9;13.5
