inst;dist_min;dist_max;dist_std;dist_mean;dist_median;tempoCpu_min;tempoCpu_max;tempoCpu_std;tempoCpu_mean;tempoCpu_median;numRotasEv_min;numRotasEv_max;numRotasEv_std;numRotasEv_mean;numRotasEv_median;distMip_min;distMip_max;distMip_std;distMip_mean;distMip_median;cpuMip_min;cpuMip_max;cpuMip_std;cpuMip_mean;cpuMip_median;distIg_min;distIg_max;distIg_std;distIg_mean;distIg_median
C101_C5x;385.491;385.491;0.0;385.491;385.491;0.111;0.124;0.003;0.116;0.115;10;20;2.618;16.2;17.0;385.491;385.491;0.0;385.491;385.491;0.001;0.002;0.0;0.001;0.001;385.491;385.491;0.0;385.491;385.491
C103_C5x;341.334;341.334;0.0;341.334;341.334;0.106;0.131;0.007;0.114;0.114;3;5;0.629;3.467;3.0;341.334;341.334;0.0;341.334;341.334;0.001;0.001;0.0;0.001;0.001;341.334;341.334;0.0;341.334;341.334
C206_C5x;417.307;417.307;0.0;417.307;417.307;0.138;0.15;0.003;0.146;0.146;2;7;1.073;4.233;4.0;417.307;417.307;0.0;417.307;417.307;0.001;0.001;0.0;0.001;0.001;417.307;417.307;0.0;417.307;417.307
C208_C5x;381.913;381.913;0.0;381.913;381.913;0.173;0.189;0.003;0.182;0.183;1;1;0.0;1.0;1.0;381.913;381.913;0.0;381.913;381.913;0.001;0.002;0.0;0.001;0.001;381.913;381.913;0.0;381.913;381.913
R104_C5x;317.021;317.021;0.0;317.021;317.021;0.158;0.209;0.008;0.165;0.164;4;5;0.346;4.133;4.0;317.021;317.021;0.0;317.021;317.021;0.001;0.001;0.0;0.001;0.001;317.021;317.021;0.0;317.021;317.021
R105_C5x;453.739;453.739;0.0;453.739;453.739;0.213;0.252;0.008;0.228;0.227;11;14;0.964;12.633;12.5;453.739;453.739;0.0;453.739;453.739;0.001;0.002;0.0;0.002;0.002;453.739;453.739;0.0;453.739;453.739
R202_C5x;347.817;348.451;0.258;347.944;347.817;0.135;0.158;0.006;0.145;0.144;2;2;0.0;2.0;2.0;347.817;348.451;0.258;347.944;347.817;0.001;0.001;0.0;0.001;0.001;347.817;348.451;0.258;347.944;347.817
R203_C5x;371.306;371.306;0.0;371.306;371.306;0.127;0.137;0.004;0.134;0.136;1;1;0.0;1.0;1.0;371.306;371.306;0.0;371.306;371.306;0.001;0.001;0.0;0.001;0.001;371.306;371.306;0.0;371.306;371.306
RC105_C5x;432.635;432.635;0.0;432.635;432.635;0.113;0.125;0.004;0.12;0.122;31;36;1.408;34.467;35.0;432.635;432.635;0.0;432.635;432.635;0.002;0.002;0.0;0.002;0.002;432.635;432.635;0.0;432.635;432.635
RC108_C5x;460.892;524.268;28.161;478.474;460.892;0.112;0.136;0.007;0.121;0.118;2;12;3.579;4.433;2.0;460.892;524.268;28.161;478.474;460.892;0.001;0.001;0.0;0.001;0.001;460.892;524.268;28.161;478.474;460.892
