inst;dist_p_value;dist_effSize;dist_mag;t_p_value;t_effSize;t_mag
C101_C5x;-;-;-;2.5937977799496563e-11;0.8617877446740594;-3
C103_C5x;-;-;-;2.645340658451443e-11;0.8614143348195061;-3
C206_C5x;-;-;-;2.0112650616033756e-11;0.8666008807561357;-3
C208_C5x;-;-;-;2.51579587997332e-11;0.8623668869529658;-3
R104_C5x;-;-;-;2.4290551533444004e-11;0.8630319250678088;-3
R105_C5x;-;-;-;2.7756836242334964e-11;0.8605009281747222;-3
R202_C5x;0.2874987475395463;0.13885620530474677;0;2.5937977799496563e-11;0.8617877446740594;-3
R203_C5x;-;-;-;1.85270051906477e-11;0.8681493272023937;-3
RC105_C5x;-;-;-;6.1009036135988324e-05;0.5185017816483559;-3
RC108_C5x;0.009434889615105302;0.3361361383385542;2;2.8322974540654573e-11;0.8601172042188857;-3
RC204_C5x;-;-;-;1.868514755035823e-11;0.8679891827317823;-3
RC208_C5x;-;-;-;2.611981306944233e-11;0.8616551888252806;-3
Avg;;;;;;
C101_C10x;2.087868239281789e-12;0.9084177771835708;3;3.325908114853543e-11;0.8570602848695055;-3
C104_C10x;-;-;-;3.004749140670026e-11;0.8589929769603668;-3
C202_C10x;5.189298462533472e-07;0.6491753010001008;3;2.9710030122924666e-11;0.8592079132772452;-3
C205_C10x;1.6852981948926487e-14;0.9916316520429012;3;2.9934617760532354e-11;0.8590646044757684;-3
R102_C10x;-;-;-;1.831075730184218e-09;0.7771166279520031;-3
R103_C10x;-;-;-;2.910031731343158e-11;0.859602382591879;-3
R201_C10x;8.036295022263616e-13;0.9255228752400412;3;3.002865221010994e-11;0.8590049136353993;-3
R203_C10x;1.4103284680332193e-07;0.6806101681180106;3;3.8095169600442015e-10;0.8093285334364226;-3
RC102_C10x;0.08140421643320042;0.2274959031826997;0;6.7696338808729616e-09;0.7492848247445458;-3
RC108_C10x;0.333710695743566;0.12909944487358055;0;2.915527021579798e-11;0.8595664992923044;-3
RC201_C10x;8.120442480835098e-05;0.5098904285419408;3;3.012295606683293e-11;0.8589452352358916;-3
RC205_C10x;0.00029226040999294153;0.46890913447864885;2;3.6759917317486855e-11;0.8551514646359432;-3
Avg;;;;;;
C103_C15x;0.2270242938650517;0.15693458756477294;0;3.0179667984904466e-11;0.8589094341660031;-3
C106_C15x;0.0006723347138762224;0.44035242296398963;2;4.498775867703226e-11;0.8512865107598192;-3
C202_C15x;1.6200988985452863e-05;0.5577075200771728;3;1.2856038128559635e-06;0.6260495431254421;-3
C208_C15x;0.004415131417629115;0.36862979303286914;2;0.003670420032296264;0.37601146340156133;-2
R102_C15x;1.596879552025877e-11;0.870949887501738;3;0.011220990133846248;0.32831708017272815;-2
R105_C15x;4.705092826102116e-06;0.591923147822799;3;2.4005208022129788e-09;0.7714313981452293;-3
R202_C15x;0.00015434569089017855;0.489691410984659;2;4.956889497757386e-11;0.849425003935256;-3
R209_C15x;0.01973268496175415;0.30197807466065735;2;0.0001246352578076161;0.49628636484308936;-2
RC103_C15x;7.006982734172169e-06;0.5810918677568508;3;0.025087137892139125;0.29014470710890233;-1
RC108_C15x;4.225186218989343e-12;0.8955815654659227;3;0.00015362921528654574;0.4896123899087487;-2
RC202_C15x;0.0018677953244288267;0.4028208754473008;2;0.0007288882150282091;0.43711375980410566;-2
RC204_C15x;3.0935562269754994e-05;0.5388491901019217;3;6.734230429343425e-06;0.582149727601402;-3
Avg;;;;;;
C101_21x;6.183382515570561e-07;0.6445672582637427;3;6.51827312812368e-09;0.7501038179511673;-3
C102_21x;2.6681231827639816e-09;0.7692011154864427;3;2.0337965170597224e-09;0.7749164124381016;-3
